,id,tweets
84,1052990000000000000.00,Google Pixel 3 vs. Apple iPhone XS: Does Google's A.I. take down Apple? https://t.co/E6chlWbzBG via @DigitalTrends
85,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/bY5Wh2pulu
86,1052990000000000000.00,"RT @OSIRISREx: 1, 2, 3, Bennu! Earlier this week, I captured these images of my favorite asteroid growing ever larger -- from about 1 pixel…"
87,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/PHNJiBkcVn
88,1052990000000000000.00,@rosccr @Google from what i understand it is exclusive to the pixel 3
89,1052990000000000000.00,"Dude drills girl&amp;#039_s snatch
 https://t.co/DLQR6fqofN 
 iphone asspics"
90,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
91,1052990000000000000.00,RT @xeetechcare: Pixel 3 XL Night Portrait Mode Selfie! (No edit) 🔥#teampixel https://t.co/PGSHclDvlP
92,1052990000000000000.00,"RT @withopeneyestoc: #AD The new @Google Pixel 3 phone from @bestbuy has amazing features like free unlimited storage, and ""Groupie Cam"" ht…"
93,1052990000000000000.00,Fuck the xmax im about to get the pixel 3
94,1052990000000000000.00,Google boasts Titan M security chip in Pixel 3 https://t.co/6U9RzqAHAZ https://t.co/0jcnVGycCy
95,1052990000000000000.00,@marcogabby1221 @Google The pixel 3
96,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
97,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
98,1052990000000000000.00,@Google keeps emailing me about pixel 3 pre-orders when they can't even get my phone case that I ordered like 10 days ago shipped to me
99,1052990000000000000.00,RT @ph14basicbitch: @cirno9ball can you buy me a pink reguar pixel 3
100,1052990000000000000.00,I liked a @YouTube video https://t.co/Ih4iVpcOxs Pixel 3 XL Unbox &amp; Early Thoughts With Sample Photos &amp; Video
101,1052990000000000000.00,"RT @OSIRISREx: 1, 2, 3, Bennu! Earlier this week, I captured these images of my favorite asteroid growing ever larger -- from about 1 pixel…"
102,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/UAFAWlx8K5
103,1052990000000000000.00,I think I've been spoiled by the Pixel 3's vibration motor. Everything else just feels...😱
104,1052990000000000000.00,@ThaboThabiso Pixel 3 for me if you can't afford iPhone X and Note 9. The P20 I feel isn't as great as people say.
